19,21
19,21
19,22
17,20
21,22
23,23
21,23
22,21
20,20
20,22
20,22
21,23
23,21
19,21
19,19
19,21
23,21
22,19
17,19
19,22
16,23
19,23
20,20
19,20
17,18
17,20
21,20
18,21
20,21
19,21
20,23
20,23
19,22
20,23
20,22
20,20
21,23
19,23
16,19
18,23
21,21
20,22
19,18
18,20
21,22
15,21
19,20
20,22
20,21
18,22
18,20
16,20
17,22
19,21
19,22
18,22
21,22
17,22
15,19
20,21
17,22
18,22
18,22
18,24
21,21
21,21
19,23
19,22
20,22
19,19
16,23
17,23
18,19
17,22
22,21
19,22
18,22
17,20
23,22
19,21
21,23
22,20
21,21
18,20
16,22
19,21
20,24
18,22
20,21
22,21
20,20
19,23
17,21
20,20
18,21
21,19
18,21
16,21
22,21
18,21
